Code,Class,Sub_Class,Ward_No,Rd_ID,Rd_Name,Locality,Colony,No_floors,Cons_type,Area,Descr,Bldg_Id,SHEET_ID,Shape_Leng,Shape_Le_1,Shape_Length,Shape_Area,height_m
A,6,House,66,RD_2468A, ,THIRUTHIVAYAL, ,1,M,0.000000000000000, ,BL_131939, ,19.599501108300000,19.599501108300000,19.599501108331431,22.376922503914869,3.5000000
A,6,House,66,RD_2468A, ,THIRUTHIVAYAL, ,2,P,0.000000000000000, ,BL_131940, ,40.344269975000003,40.344269975000003,40.344269975048050,96.422600762884528,7.0000000
A,6,House,66,RD_926, ,KUTTIKAVU, ,1,P,0.000000000000000, ,BL_131941, ,36.011842420599997,36.011842420599997,36.011842420621235,79.893108249731640,3.5000000
A,6,House,66,RD_926, ,KUTTIKAVU, ,1,P_M,0.000000000000000, ,BL_131942, ,34.018137609599997,34.018137609599997,34.018137609599734,64.663255670815147,3.5000000
A,6,House,65,RD_2468, ,KUTTIKAVU, ,1,M,0.000000000000000, ,BL_131946, ,27.337515707800002,27.337515707800002,27.337515707802581,44.494446789232825,3.5000000
A,6,House,65,RD_5675A, ,NADAKAVU VANDIPETA, ,1,P_K,0.000000000000000, ,BL_131948, ,43.852598977100001,43.852598977100001,43.852598977060026,114.091054105242677,3.5000000
A,6,House,65,RD_2468, ,KUTTIKAVU, ,2,P,0.000000000000000, ,BL_131951, ,44.808425829100003,44.808425829100003,44.808425829058557,105.047045490925981,7.0000000
A,6,House,65,RD_5675A, ,NADAKAVU VANDIPETA, ,1,P_K,0.000000000000000, ,BL_131954, ,46.513341777500003,46.513341777500003,46.513341777484825,129.009472318195549,3.5000000
A,6,House,66,RD_5386, ,CHEROTTU PARAMBA, ,1,M,0.000000000000000, ,BL_131966, ,27.115469531500000,27.115469531500000,27.115469531542821,45.196822890810701,3.5000000
A,6,House,65,RD_2468, ,CHEROTTU PARAMBA, ,1,P_M,0.000000000000000, ,BL_131970, ,32.469561671900003,32.469561671900003,32.469561671877024,65.671026169647149,3.5000000
A,6,House,66,RD_5386, ,CHEROTTU PARAMBA, ,1,M,0.000000000000000, ,BL_131976, ,35.593680256500001,35.593680256500001,35.593680256544125,75.664181786110632,3.5000000
A,6,House,65,RD_2468, ,CHEROTTU PARAMBA, ,1,M,0.000000000000000, ,BL_131977, ,17.725799998300001,17.725799998300001,17.725799998268485,19.637732696162587,3.5000000
A,6,House,66,RD_2468A, ,THIRUTHIVAYAL, ,2,P,0.000000000000000, ,BL_131995, ,37.879805918300001,37.879805918300001,37.879805918345831,84.816663986112161,7.0000000
A,6,House,66,RD_2468A, ,THIRUTHIVAYAL, ,1,M,0.000000000000000, ,BL_131996, ,35.188029079800003,35.188029079800003,35.188029079811770,73.046426440356285,3.5000000
A,6,House,66,RD_2468A, ,THIRUTHIVAYAL, ,1,M,0.000000000000000, ,BL_131997, ,29.258399762700002,29.258399762700002,29.258399762700403,48.598574327365235,3.5000000
A,6,House,66,RD_926, ,KUTTIKAVU, ,1,P,0.000000000000000, ,BL_131998A, ,31.888216899200000,31.888216899200000,31.888216899159755,63.092996570464656,3.5000000
A,6,House,66,RD_2468A, ,THIRUTHIVAYAL, ,2,P,0.000000000000000, ,BL_132002, ,28.416669001999999,28.416669001999999,28.416669002041644,49.315079110506176,7.0000000
A,6,House,65,RD_5388, ,NADAKAVU VANDIPETA, ,2,P,0.000000000000000, ,BL_132004, ,33.311519561399997,33.311519561399997,33.311519561397439,65.326436800721325,7.0000000
A,6,House,66,RD_5386, ,CHEROTTU PARAMBA, ,1,M,0.000000000000000, ,BL_132007, ,31.956453511700001,31.956453511700001,31.956453511698736,62.537770820029387,3.5000000
A,6,House,65,RD_5675A, ,NADAKAVU VANDIPETA, ,2,P,0.000000000000000, ,BL_132027, ,62.674599999599998,62.674599999599998,62.674599999561906,204.332090659019940,7.0000000
A,6,House,66,RD_926, ,KUTTIKAVU, ,1,M,0.000000000000000, ,BL_132039, ,39.311492304900000,39.311492304900000,39.311492304850177,75.424885910270348,3.5000000
A,6,House,65,RD_5675A, ,NADAKAVU VANDIPETA, ,1,M,0.000000000000000, ,BL_132040, ,26.367799999199999,26.367799999199999,26.367799999192357,43.398085197362299,3.5000000
A,6,House,66,RD_926, ,KUTTIKAVU, ,1,P,0.000000000000000, ,BL_132086, ,25.228324338000000,25.228324338000000,25.228324338028326,39.779271806547015,3.5000000
A,6,House,66,RD_2468A, ,THIRUTHIVAYAL, ,1,M,0.000000000000000, ,BL_132088, ,54.842400001400001,54.842400001400001,54.842400001361966,160.873951409080661,3.5000000
145,16,Temple,66,RD_2468A, ,THIRUTHIVAYAL, ,1,P,0.000000000000000,TEMPLE OFFICE,BL_132089, ,43.258360062999998,43.258360062999998,43.258360063041557,93.027288720713898,3.5000000
A,6,House,66,RD_5217, ,THIRUTHIVAYAL, ,2,P,0.000000000000000, ,BL_132095, ,37.777055278500001,37.777055278500001,37.777055278520749,89.019956273953028,7.0000000
A,6,House,65,RD_5388, ,NADAKAVU VANDIPETA, ,2,P,0.000000000000000, ,BL_132349, ,56.527596029199998,56.527596029199998,56.527596029177261,195.294666115843029,7.0000000
A,6,House,66,RD_4941, ,KUNNATH THAZHAM, ,1,M,0.000000000000000, ,BL_132498, ,29.832100014900000,29.832100014900000,29.832100014892212,54.222792289603134,3.5000000
A,6,House,66,RD_4941, ,KUNNATH THAZHAM, ,1,M,0.000000000000000, ,BL_132499, ,23.145639498700000,23.145639498700000,23.145639498700248,33.437637819230076,3.5000000
A,6,House,66,RD_4941,KUZHIKANDI PARAMBA,KUZHIKANDI PARAMBA, ,1,P,0.000000000000000, ,BL_132500, ,32.616170855500002,32.616170855500002,32.616170855489337,62.198298575145088,3.5000000
A,6,House,66,RD_4941, ,KUNNATH THAZHAM, ,2,P,0.000000000000000, ,BL_132503, ,44.203451634499999,44.203451634499999,44.203451634510870,118.354590592937967,7.0000000
A,6,House,66,RD_4941, ,KUNNATH THAZHAM, ,2,P_M,0.000000000000000, ,BL_132505, ,22.709570759700000,22.709570759700000,22.709570759665336,30.435530807935077,7.0000000
A,6,House,66,RD_4941, ,KUNNATH THAZHAM, ,1,P,0.000000000000000, ,BL_132509A, ,42.595819005400003,42.595819005400003,42.595819005391014,113.333336163699116,3.5000000
A,6,House,65,RD_4941,KUZHIKANDI PARAMBA,KUZHIKANDI PARAMBA, ,2,M,0.000000000000000, ,BL_132533, ,35.152164073100003,35.152164073100003,35.152164073103847,76.243626875573199,7.0000000
A,6,House,66,RD_4941, ,KUNNATH THAZHAM, ,1,M,0.000000000000000, ,BL_132538, ,24.289992601800002,24.289992601800002,24.289992601844357,36.225891354450411,3.5000000
A,6,House,66,RD_4820, ,KUZHIKANDI PARAMBA, ,1,P_K,0.000000000000000, ,BL_132542, ,42.685705610100001,42.685705610100001,42.685705610063934,105.248991013274335,3.5000000
A,6,House,66,RD_4941,KUZHIKANDI PARAMBA,KUZHIKANDI PARAMBA, ,1,M,0.000000000000000, ,BL_132543, ,33.011913538100004,33.011913538100004,33.011913538115380,64.800110312794047,3.5000000
A,6,House,66,RD_4820, ,KUZHIKANDI PARAMBA, ,1,P,0.000000000000000, ,BL_132544, ,26.470102961999999,26.470102961999999,26.470102961970632,42.502576719286068,3.5000000
A,6,House,66,RD_4820, ,KUZHIKANDI PARAMBA, ,2,P_K,0.000000000000000, ,BL_132549, ,39.980024592800000,39.980024592800000,39.980024592837424,87.161619178249993,7.0000000
A,6,House,66,RD_4820, ,KUZHIKANDI PARAMBA, ,1,P,0.000000000000000, ,BL_132552, ,28.483990471799999,28.483990471799999,28.483990471806230,47.989542067486717,3.5000000
A,6,House,66,RD_4820, ,KUZHIKANDI PARAMBA, ,1,P,0.000000000000000, ,BL_132560, ,43.014500782299997,43.014500782299997,43.014500782307664,106.626258864556576,3.5000000
A,6,House,66,RD_4820, ,KUZHIKANDI PARAMBA, ,1,M,0.000000000000000, ,BL_132566, ,30.282038337199999,30.282038337199999,30.282038337217372,56.616761452541418,3.5000000
A,6,House,66,RD_4820, ,KUZHIKANDI PARAMBA, ,2,P,0.000000000000000, ,BL_132568, ,35.233079974699997,35.233079974699997,35.233079974695308,61.404390145221228,7.0000000
A,6,House,66,RD_4820, ,KUZHIKANDI PARAMBA, ,2,P,0.000000000000000, ,BL_132578, ,45.849986463000000,45.849986463000000,45.849986462956949,125.212277894533131,7.0000000
A,6,House,65,RD_4820, ,KUZHIKANDI PARAMBA, ,1,M,0.000000000000000, ,BL_132580, ,19.987426086799999,19.987426086799999,19.987426086776985,24.821576503478514,3.5000000
A,6,House,66,RD_4820, ,KUZHIKANDI PARAMBA, ,2,P,0.000000000000000, ,BL_132582, ,31.403585018200001,31.403585018200001,31.403585018174610,56.750871591997850,7.0000000
A,6,House,66,RD_4820, ,KUZHIKANDI PARAMBA, ,2,P,0.000000000000000, ,BL_132585, ,30.538799999300000,30.538799999300000,30.538799999281764,57.955253326911503,7.0000000
A,6,House,65,RD_4820, ,KUNNATH THAZHAM, ,1,P_M,0.000000000000000, ,BL_132618, ,30.015431103000001,30.015431103000001,30.015431103030533,53.908383196571279,3.5000000
A,6,House,66,RD_4820, ,KUZHIKANDI PARAMBA, ,1,M,0.000000000000000, ,BL_132619, ,33.111039521000002,33.111039521000002,33.111039521046820,67.016987423538083,3.5000000
